label,value,time
ces-main,50.29,2025-09-15T08:40:00+00:00
ces-main,50.30,2025-09-15T08:40:30+00:00
ces-main,50.30,2025-09-15T08:41:00+00:00
ces-main,50.28,2025-09-15T08:41:30+00:00
ces-main,50.26,2025-09-15T08:42:00+00:00
ces-main,50.25,2025-09-15T08:42:30+00:00
ces-main,50.22,2025-09-15T08:43:00+00:00
ces-main,50.20,2025-09-15T08:43:30+00:00
ces-main,50.18,2025-09-15T08:44:00+00:00
ces-main,50.21,2025-09-15T08:44:30+00:00
ces-main,50.21,2025-09-15T08:45:00+00:00
ces-main,50.22,2025-09-15T08:45:30+00:00
ces-main,50.23,2025-09-15T08:46:00+00:00
ces-main,50.27,2025-09-15T08:46:30+00:00
ces-main,50.29,2025-09-15T08:47:00+00:00
ces-main,50.28,2025-09-15T08:47:30+00:00
ces-main,50.30,2025-09-15T08:48:00+00:00
ces-main,50.31,2025-09-15T08:48:30+00:00
ces-main,50.33,2025-09-15T08:49:00+00:00
ces-main,50.33,2025-09-15T08:49:30+00:00
ces-main,50.34,2025-09-15T08:50:00+00:00
ces-main,50.33,2025-09-15T08:50:30+00:00
ces-main,50.34,2025-09-15T08:51:00+00:00
ces-main,50.33,2025-09-15T08:51:30+00:00
ces-main,50.32,2025-09-15T08:52:00+00:00
ces-main,50.31,2025-09-15T08:52:30+00:00
ces-main,50.35,2025-09-15T08:53:00+00:00
ces-main,50.37,2025-09-15T08:53:30+00:00
ces-main,50.35,2025-09-15T08:54:00+00:00
ces-main,50.35,2025-09-15T08:54:30+00:00
ces-main,50.31,2025-09-15T08:55:00+00:00
ces-main,50.31,2025-09-15T08:55:30+00:00
ces-main,50.28,2025-09-15T08:56:00+00:00
ces-main,50.30,2025-09-15T08:56:30+00:00
ces-main,50.34,2025-09-15T08:57:00+00:00
ces-main,50.37,2025-09-15T08:57:30+00:00
ces-main,50.36,2025-09-15T08:58:00+00:00
ces-main,50.35,2025-09-15T08:58:30+00:00
ces-main,50.36,2025-09-15T08:59:00+00:00
ces-main,50.36,2025-09-15T08:59:30+00:00
ces-main,50.38,2025-09-15T09:00:00+00:00
ces-main,50.40,2025-09-15T09:00:30+00:00
ces-main,50.46,2025-09-15T09:01:00+00:00
ces-main,50.49,2025-09-15T09:01:30+00:00
ces-main,50.55,2025-09-15T09:02:00+00:00
ces-main,50.61,2025-09-15T09:02:30+00:00
ces-main,50.67,2025-09-15T09:03:00+00:00
ces-main,50.75,2025-09-15T09:03:30+00:00
ces-main,50.81,2025-09-15T09:04:00+00:00
ces-main,50.86,2025-09-15T09:04:30+00:00
ces-main,50.92,2025-09-15T09:05:00+00:00
ces-main,50.93,2025-09-15T09:05:30+00:00
ces-main,50.92,2025-09-15T09:06:00+00:00
ces-main,50.86,2025-09-15T09:06:30+00:00
ces-main,50.82,2025-09-15T09:07:00+00:00
ces-main,50.71,2025-09-15T09:07:30+00:00
ces-main,50.62,2025-09-15T09:08:00+00:00
ces-main,50.52,2025-09-15T09:08:30+00:00
ces-main,50.44,2025-09-15T09:09:00+00:00
ces-main,50.36,2025-09-15T09:09:30+00:00
ces-main,50.30,2025-09-15T09:10:00+00:00
ces-main,50.30,2025-09-15T09:10:30+00:00
ces-main,50.29,2025-09-15T09:11:00+00:00
ces-main,50.30,2025-09-15T09:11:30+00:00
ces-main,50.33,2025-09-15T09:12:00+00:00
ces-main,50.37,2025-09-15T09:12:30+00:00
ces-main,50.41,2025-09-15T09:13:00+00:00
ces-main,50.46,2025-09-15T09:13:30+00:00
ces-main,50.49,2025-09-15T09:14:00+00:00
ces-main,50.54,2025-09-15T09:14:30+00:00
ces-main,50.58,2025-09-15T09:15:00+00:00
ces-main,50.60,2025-09-15T09:15:30+00:00
ces-main,50.63,2025-09-15T09:16:00+00:00
ces-main,50.61,2025-09-15T09:16:30+00:00
ces-main,50.57,2025-09-15T09:17:00+00:00
ces-main,50.59,2025-09-15T09:17:30+00:00
ces-main,50.60,2025-09-15T09:18:00+00:00
ces-main,50.60,2025-09-15T09:18:30+00:00
ces-main,50.57,2025-09-15T09:19:00+00:00
ces-main,50.54,2025-09-15T09:19:30+00:00
ces-main,50.54,2025-09-15T09:20:00+00:00
ces-main,50.48,2025-09-15T09:20:30+00:00
ces-main,50.43,2025-09-15T09:21:00+00:00
ces-main,50.45,2025-09-15T09:21:30+00:00
ces-main,50.41,2025-09-15T09:22:00+00:00
ces-main,50.36,2025-09-15T09:22:30+00:00
ces-main,50.31,2025-09-15T09:23:00+00:00
ces-main,50.27,2025-09-15T09:23:30+00:00
ces-main,50.29,2025-09-15T09:24:00+00:00
ces-main,50.35,2025-09-15T09:24:30+00:00
ces-main,50.33,2025-09-15T09:25:00+00:00
ces-main,50.33,2025-09-15T09:25:30+00:00
ces-main,50.31,2025-09-15T09:26:00+00:00
ces-main,50.31,2025-09-15T09:26:30+00:00
ces-main,50.39,2025-09-15T09:27:00+00:00
ces-main,50.46,2025-09-15T09:27:30+00:00
ces-main,50.51,2025-09-15T09:28:00+00:00
ces-main,50.55,2025-09-15T09:28:30+00:00
ces-main,50.56,2025-09-15T09:29:00+00:00
ces-main,50.54,2025-09-15T09:29:30+00:00
ces-main,50.58,2025-09-15T09:30:00+00:00
ces-main,50.60,2025-09-15T09:30:30+00:00
ces-main,50.64,2025-09-15T09:31:00+00:00
ces-main,50.63,2025-09-15T09:31:30+00:00
ces-main,50.56,2025-09-15T09:32:00+00:00
ces-main,50.47,2025-09-15T09:32:30+00:00
ces-main,50.39,2025-09-15T09:33:00+00:00
ces-main,50.32,2025-09-15T09:33:30+00:00
ces-main,50.27,2025-09-15T09:34:00+00:00
ces-main,50.20,2025-09-15T09:34:30+00:00
ces-main,50.13,2025-09-15T09:35:00+00:00
ces-main,50.10,2025-09-15T09:35:30+00:00
ces-main,50.04,2025-09-15T09:36:00+00:00
ces-main,50.01,2025-09-15T09:36:30+00:00
ces-main,50.02,2025-09-15T09:37:00+00:00
ces-main,50.06,2025-09-15T09:37:30+00:00
ces-main,50.09,2025-09-15T09:38:00+00:00
ces-main,50.13,2025-09-15T09:38:30+00:00
ces-main,50.13,2025-09-15T09:39:00+00:00
ces-main,50.15,2025-09-15T09:39:30+00:00
ces-main,50.17,2025-09-15T09:40:00+00:00
ces-main,50.21,2025-09-15T09:40:30+00:00
ces-main,50.22,2025-09-15T09:41:00+00:00
ces-main,50.22,2025-09-15T09:41:30+00:00
ces-main,50.23,2025-09-15T09:42:00+00:00
ces-main,50.25,2025-09-15T09:42:30+00:00
ces-main,50.29,2025-09-15T09:43:00+00:00
ces-main,50.33,2025-09-15T09:43:30+00:00
ces-main,50.40,2025-09-15T09:44:00+00:00
ces-main,50.45,2025-09-15T09:44:30+00:00
ces-main,50.50,2025-09-15T09:45:00+00:00
ces-main,50.54,2025-09-15T09:45:30+00:00
ces-main,50.60,2025-09-15T09:46:00+00:00
ces-main,50.62,2025-09-15T09:46:30+00:00
